"Date","Name","Replicate","Time_min","N2O_nmol","f","delta_p","delta_alpha","delta_beta","delta_o","SP","N_s0","sample_N2O_nmol","sd_sample_nmol","sample_V","N2O_nmol_rxn_bottle","sd_N2O_nmol","sd_f","N_p","N_s","one_minus_f","-flnf/(1-f)","R_std","R_p","R_alpha","R_beta","14N_p","15N_p","14N_alpha","15N_alpha","tau","N2O_umol","sd_N2O_umol"
"6/30/2017","cNOR-1 60min","NS-1",60,1037.23926,0.79845,-51.70564,-48.75702,-54.67222,9.47275,5.91521,10292.40305,8.755102641,0.501897541,1.25,1031.000887,60.14295625,0.047057662,2074.47852,8217.92453,0.20155,0.891676834600005,0.0036765,0.00348640421454,0.00349724481597,0.00347549758317,2067.27117705572,7.20734294428412,1033.62442234729,3.61483765271403,0.49999459858934,1.03723926,0.06014295625
"6/30/2017","cNOR-1 120min 6-30-17","NS-1",120,1663.95545,0.67666,-50.94684,-48.91018,-53.00148,13.17973,4.0913,10292.40305,11.14018459,0.466536237,1,1639.835171,70.9205187,0.029711749,3327.9109,6964.49215,0.32334,0.817387759498593,0.0036765,0.00348919394274,0.00349668172323,0.00348164005878,3316.33954813657,11.5713518634272,1658.15740132056,5.79804867943617,0.499996269155331,1.66395545,0.0709205187
"6/30/2017","cNOR-1 150min 6-30-17","NS-1",150,1744.57775,0.661,-50.43351,-49.04928,-51.83576,14.10451,2.78649,10292.40305,10.45098883,0.468870353,0.9,1709.317284,78.87659117,0.030688894,3489.1555,6803.24755,0.339,0.807241744145215,0.0036765,0.003491081200485,0.00349617032208,0.00348592582836,3477.0169514869,12.1385485131036,1738.49965908695,6.07809091304601,0.499997464304426,1.74457775,0.07887659117
"6/30/2017","cNOR-1 180min 6-30-17","NS-1",180,1913.12409,0.62825,-50.2283,-48.69112,-51.7835,14.72994,3.09239,10292.40305,10.1489817,0.471986628,0.8,1867.412633,89.15609495,0.030019307,3826.24818,6466.15487,0.37175,0.785531525709044,0.0036765,0.00349183565505,0.00349748709732,0.00348611796225,3812.9340409654,13.3141390345969,1906.45628374599,6.66780625400625,0.499997184127343,1.91312409,0.08915609495
"6/30/2017","cNOR-spike-1 60min 6-30-17","S-1",60,1054.06989,0.79518,-51.42832,-48.30315,-54.57147,9.74111,6.26832,10292.40305,8.90223432,0.497610245,1.25,1048.327114,59.68209103,0.04579897,2108.13978,8184.26327,0.20482,0.889780000167773,0.0036765,0.00348742378152,0.003498913469025,0.003475867990545,2100.81335355029,7.32642644970608,1050.39465001128,3.67523998871628,0.499994275186873,1.05406989,0.05968209103
"7/7/2017","cNOR-spike-1 120min 6-30-17","S-1",120,1568.47771,0.69522,-50.75604,-49.07209,-55.93079,13.23193,6.8587,10292.40305,10.48435144,0.262938422,1,1543.296532,42.14011491,0.020068083,3136.95542,7155.44763,0.30478,0.829225004803255,0.0036765,0.00348989541894,0.003496086461115,0.003470870450565,3126.04584691944,10.9095730805606,1563.01328043174,5.46442956826035,0.499996915263418,1.56847771,0.04214011491
"7/7/2017","cNOR-spike-1 150min 7-7-17","S-1",150,1982.36136,0.61479,-50.05777,-49.19757,-54.99528,14.75101,5.79772,10292.40305,11.90235222,0.301835656,0.9,1946.69583,53.65646083,0.017861067,3964.72272,6327.68033,0.38521,0.776406838043973,0.0036765,0.003492462608595,0.003495625133895,0.00347430985308,3950.92426473602,13.7984552639812,1975.4559066817,6.90545331829789,0.499998424245597,1.98236136,0.05365646083
"7/7/2017","cNOR-2 60min 7-7-17","NS-2",60,1178.86673,0.77092,-51.77384,-48.91122,-57.90913,10.19886,8.99791,10292.40305,9.950773822,0.258261319,1.25,1171.803125,32.94036435,0.023027193,2357.73346,7934.66959,0.22908,0.875549042146279,0.0036765,0.00348615347724,0.00349667789967,0.003463597083555,2349.5425939163,8.19086608370478,1174.75897625031,4.1077537496934,0.499994756124927,1.17886673,0.03294036435
"7/7/2017","cNOR-2 90min 7-7-17","NS-2",90,1455.22336,0.71722,-50.89522,-48.43591,-56.95255,12.90926,8.51664,10292.40305,10.7474856,0.267417682,1.1,1438.208983,39.01027802,0.020663422,2910.44672,7381.95633,0.28278,0.84300273374502,0.0036765,0.00348938372367,0.003498425376885,0.003467113949925,2900.32636837685,10.1203516231451,1450.1501180268,5.07324197319774,0.49999549493403,1.45522336,0.03901027802
"7/7/2017","cNOR-2 120min 7-7-17","NS-2",120,1875.54556,0.63555,-50.28667,-47.99392,-56.92675,14.23064,8.93283,10292.40305,12.55287836,0.329719501,1,1847.783694,52.47642799,0.019005465,3751.09112,6541.31193,0.36445,0.790430131405157,0.0036765,0.003491621057745,0.00350005035312,0.003467208803625,3738.03930325408,13.0518167459204,1869.00395205762,6.54160794238194,0.499995800052341,1.87554556,0.05247642799
"7/7/2017","cNOR-spike-2 60min 7-7-17","S-2",60,1052.74536,0.79543,-51.58645,-45.07568,-60.92824,9.86109,15.85256,10292.40305,8.883618591,0.267179945,1.25,1046.134925,33.42977724,0.026617701,2105.49072,8186.91233,0.20457,0.889925194470931,0.0036765,0.003486842416575,0.00351077926248,0.00345249732564,2098.17471540494,7.31600459505913,1049.06233371375,3.6830262862511,0.499988073448537,1.05274536,0.03342977724
"7/7/2017","cNOR-spike-2 90min 7-7-17","S-2",90,1321.65752,0.74318,-50.94332,-49.56821,-55.50878,12.31301,5.94057,10292.40305,9.76073248,0.258070579,1.1,1306.163474,37.30396514,0.022395098,2643.31504,7649.08801,0.25682,0.858922435631421,0.0036765,0.00348920688402,0.003494262475935,0.00347242197033,2634.12403627925,9.19100372074811,1317.05538279716,4.60213720283634,0.499997481006068,1.32165752,0.03730396514
"7/7/2017","cNOR-spike-2 120min 7-7-17","S-2",120,1748.23102,0.66029,-50.64501,-49.42441,-55.85695,13.41886,6.43254,10292.40305,11.7050016,0.294446858,1,1722.976235,47.16742818,0.019129403,3496.46204,6795.94101,0.33971,0.806778219041702,0.0036765,0.003490303620735,0.003494791156635,0.003471141923325,3484.30077239837,12.1612676016318,1742.14259546378,6.08842453622395,0.499997764046241,1.74823102,0.04716742818
"7/7/2017","cNOR-spike-2 150min 7-7-17","S-2",150,1969.30993,0.61733,-50.1075,-49.18126,-55.0707,14.63652,5.88945,10292.40305,11.81464084,0.298484166,0.9,1932.350145,53.09148273,0.017872932,3938.61986,6353.78319,0.38267,0.778138039597209,0.0036765,0.00349227977625,0.00349568509761,0.00347403257145,3924.9129658259,13.7068941740952,1962.44982339754,6.86010660245816,0.499998303270552,1.96930993,0.05309148273
